Client_Id,Job,Marital_Status,Qualifications,Age,Country,Name,Gender
44431353,housemaid,married,basic.4y,56,France,Hargrave,Female
44431276,services,married,high.school,57,Spain,Hill,Female
45983838,services,married,high.school,37,France,Onio,Female
44475904,admin.,married,basic.6y,40,France,Boni,Female
43877389,services,married,high.school,56,Spain,Mitchell,Female
44431198,services,married,basic.9y,45,Spain,Chu,Male
44431121,admin.,married,professional.course,59,France,Bartlett,Male
44431044,blue-collar,married,unknown,41,Germany,Obinna,Female
45987719,technician,single,professional.course,24,France,He,Male
45943086,services,single,high.school,25,France,H?,Male
45942459,blue-collar,married,unknown,41,France,Bearce,Male
45942229,services,single,high.school,25,Spain,Andrews,Male
45941983,blue-collar,single,high.school,29,France,Kay,Female
45898359,housemaid,divorced,basic.4y,57,France,Chin,Female
45886372,blue-collar,married,basic.6y,35,Spain,Scott,Female
45886371,retired,married,basic.9y,54,Germany,Goforth,Male
45864590,blue-collar,married,basic.6y,35,Germany,Romeo,Male
45863153,blue-collar,married,basic.6y,46,Spain,Henderson,Female
45862971,blue-collar,married,basic.9y,50,Spain,Muldrow,Male
45852535,management,single,basic.9y,39,France,Hao,Female
45850607,unemployed,married,high.school,30,France,McDonald,Male
45800965,blue-collar,married,basic.4y,55,Spain,Dellucci,Female
45800836,retired,single,high.school,55,Spain,Gerasimov,Female
45795675,technician,single,high.school,41,France,Mosman,Male
45795582,admin.,married,high.school,37,France,Yen,Female
45795234,technician,married,university.degree,35,France,Maclean,Male
44430967,technician,married,unknown,59,Germany,Young,Male
45767587,self-employed,married,basic.9y,39,France,Nebechi,Male
45767425,technician,single,university.degree,54,Germany,McWilliams,Female
45751466,unknown,married,university.degree,55,France,Lucciano,Male
45735981,admin.,married,unknown,46,Spain,Azikiwe,Female
45735025,technician,married,unknown,59,France,Odinakachukwu,Male
45596728,blue-collar,married,unknown,49,Germany,Sanderson,Male
45583580,management,married,basic.4y,54,Spain,Maggard,Female
45578504,job,divorced,basic.4y,54,Spain,Clements,Female
45571287,housemaid,married,basic.4y,55,France,Lombardo,Female
45403745,services,married,high.school,34,Spain,Watson,Male
45395917,services,married,basic.9y,52,Spain,Lorenzo,Male
45395916,admin.,married,university.degree,41,France,Armstrong,Male
45359510,services,married,basic.4y,56,Germany,Cameron,Male
45348204,services,unknown,university.degree,58,Spain,Hsiao,Male
45319796,admin.,married,high.school,32,France,Clarke,Female
45307667,blue-collar,single,professional.course,38,France,Osborne,Female
45182453,technician,married,university.degree,57,France,Lavine,Female
45182452,services,married,university.degree,44,Spain,Bianchi,Female
45182449,blue-collar,single,professional.course,42,Germany,Tyler,Female
45168511,services,married,university.degree,57,Germany,Martin,Female
45123683,blue-collar,married,basic.9y,40,Germany,Okagbue,Female
45105047,housemaid,married,university.degree,35,Germany,Yin,Male
45094595,blue-collar,married,basic.9y,45,Germany,Buccho,Female
45094582,retired,married,high.school,54,Germany,Chidiebele,Male
45014230,blue-collar,married,basic.4y,39,Germany,Trevisani,Male
45008032,blue-collar,married,high.school,60,France,O'Brien,Female
44821932,blue-collar,single,professional.course,53,Germany,Parkhill,Male
44812223,management,married,basic.4y,55,Germany,Yoo,Male
44429318,unemployed,married,professional.course,55,France,Phillipps,Male
45945049,blue-collar,married,university.degree,50,France,Tsao,Male
45945048,retired,married,high.school,45,Germany,Endrizzi,Male
44740613,technician,married,professional.course,55,Spain,T'ien,Female
44739540,admin.,single,university.degree,25,France,Velazquez,Male
46026256,technician,married,university.degree,47,Germany,Hunter,Male
46016066,technician,married,basic.9y,51,Germany,Clark,Female
46016034,self-employed,married,basic.6y,42,Spain,Jeffrey,Male
45985897,technician,married,basic.6y,42,Spain,Pirozzi,Male
45985898,unknown,married,high.school,48,Germany,Jackson,Male
45985546,admin.,married,university.degree,37,Germany,Hammond,Female
44430812,technician,single,basic.9y,44,Germany,Brownless,Female
45923207,blue-collar,married,unknown,33,Germany,Chibugo,Male
45922934,management,married,basic.9y,56,Germany,Glauert,Female
45787945,job,single,basic.4y,44,France,Pisano,Female
45709422,housemaid,married,basic.6y,41,Germany,Konovalova,Male
45491612,services,divorced,university.degree,44,France,McKee,Male
45491535,services,married,university.degree,47,Spain,Palermo,Female
45491398,admin.,married,unknown,57,Germany,Ballard,Female
45463374,services,married,university.degree,37,France,Wallace,Male
45374450,services,divorced,basic.4y,41,France,Cavenagh,Female
45369965,admin.,married,university.degree,55,France,Hu,Male
45358574,blue-collar,married,high.school,33,France,Read,Female
45347634,technician,married,unknown,55,Spain,Bushell,Male
45347636,services,married,basic.9y,42,Germany,Postle,Female
45318811,blue-collar,married,basic.4y,50,France,Buley,Female
44669068,services,married,basic.4y,51,France,Leonard,Female
44403673,blue-collar,married,high.school,38,France,Mills,Female
44391932,housemaid,married,university.degree,49,France,Onyeorulu,Female
44247112,blue-collar,single,university.degree,38,France,Beit,Female
42662787,retired,divorced,high.school,31,Spain,Ndukaku,Female
39777150,blue-collar,married,basic.6y,41,Spain,Gant,Male
33675085,blue-collar,married,university.degree,39,France,Rowley,Male
46005034,blue-collar,married,basic.9y,49,France,Sharpe,Female
45981200,management,married,high.school,34,Germany,Osborne,Female
45980962,unemployed,married,university.degree,35,Spain,Heap,Female
45980961,blue-collar,married,unknown,57,France,Ritchie,Male
45980908,retired,married,unknown,60,France,Cole,Female
45947103,technician,married,basic.9y,33,France,Capon,Male
45947074,admin.,married,basic.6y,42,Spain,Capon,Male
45947041,technician,married,professional.course,45,Spain,Fiorentini,Male
45946873,technician,married,university.degree,42,Spain,Graham,Male
45946740,self-employed,divorced,university.degree,53,Germany,Yuille,Male
44430580,technician,single,professional.course,37,Spain,Allard,Male
45942818,unknown,married,basic.6y,44,France,Fanucci,Male
45942311,admin.,married,unknown,54,France,Fu,Female
45941986,technician,married,basic.4y,49,France,Hung,Female
45941733,blue-collar,married,unknown,54,France,Hung,Male
45886367,management,divorced,university.degree,52,Spain,Bradley,Male
45886232,job,divorced,university.degree,52,Spain,Dunbabin,Female
45874592,housemaid,single,high.school,43,Spain,Mauldon,Female
45864238,services,married,basic.6y,34,Germany,Stiger,Male
45863033,services,married,high.school,35,Germany,Parsons,Female
45862802,admin.,married,unknown,42,Spain,Walkom,Male
45856155,services,married,unknown,43,Germany,T'ang,Male
45852503,services,divorced,university.degree,60,Germany,Eremenko,Male
45851317,admin.,married,basic.4y,58,Germany,Rowntree,Male
45833873,blue-collar,divorced,high.school,35,France,Thorpe,Male
45800872,technician,married,basic.9y,55,Spain,Chiemela,Male
45800716,services,married,university.degree,37,Germany,Fanucci,Male
45795614,blue-collar,married,high.school,36,Germany,Ko,Female
45795550,services,divorced,university.degree,52,Germany,Welch,Female
45795183,blue-collar,divorced,unknown,57,France,Duncan,Female
45782875,housemaid,married,unknown,56,Germany,Chidozie,Female
45782430,blue-collar,divorced,basic.4y,48,Germany,Wu,Male
45782176,retired,married,high.school,40,France,Culbreth,Male
45758856,blue-collar,divorced,high.school,49,Spain,Kennedy,Male
45743606,blue-collar,married,high.school,41,France,Cameron,Female
45735782,blue-collar,married,high.school,45,Germany,Calabresi,Female
45734955,management,married,university.degree,32,France,Zetticci,Female
45717652,unemployed,married,university.degree,42,France,Fuller,Male
45704612,blue-collar,married,basic.6y,50,France,MacDonald,Female
45697318,retired,divorced,professional.course,31,Germany,Piccio,Male
45696774,technician,married,basic.4y,56,France,Kennedy,Female
45612428,admin.,married,professional.course,41,France,Fernie,Male
45596351,technician,married,basic.6y,37,France,He,Female
45593642,technician,married,professional.course,41,Germany,Kaodilinakachukwu,Female
45593610,self-employed,married,unknown,35,France,Cocci,Male
45593571,technician,married,basic.6y,37,France,Alekseeva,Male
45593515,unknown,married,university.degree,52,Germany,Chinweike,Male
45583504,admin.,divorced,university.degree,39,Germany,Arthur,Female
45578440,technician,married,basic.4y,39,Germany,Li,Female
45577835,blue-collar,married,basic.4y,56,France,Ma,Male
45577834,management,married,high.school,34,Spain,Chia,Female
45571242,job,married,basic.9y,45,Spain,Vasin,Female
45555304,housemaid,single,university.degree,43,Germany,Groves,Male
45554432,services,married,unknown,56,France,Tien,Male
45554240,services,married,university.degree,39,France,Forwood,Female
45554172,admin.,married,basic.4y,53,Spain,Greeves,Male
45519978,services,divorced,high.school,38,France,Taylor,Female
45507117,services,married,basic.4y,42,Spain,Madukwe,Female
45502376,admin.,married,basic.4y,42,Spain,Bennelong,Female
45396391,blue-collar,single,high.school,35,France,Olisanugo,Male
45389196,technician,married,university.degree,40,France,Chukwufumnanya,Male
45384575,services,married,basic.4y,51,France,Harris,Male
45384513,blue-collar,married,basic.9y,60,Spain,Morgan,Female
45373215,services,married,unknown,56,France,Alexeeva,Female
